"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase"
"223","M","18-25","0","C","0","0",290975
"3650","M","36-45","7","C","0","1",731605
"5641","M","36-45","12","B","4+","1",645419
"2471","F","18-25","3","B","3","0",197641
"911","M","0-17","10","B","1","0",266943
"4479","M","51-55","13","C","1","1",1248238
"1505","M","18-25","15","C","1","0",198352
"3119","M","26-35","17","B","4+","0",179682
"3991","F","51-55","6","B","1","1",381555
"3949","M","18-25","3","B","1","1",1016165
"2113","M","26-35","7","C","2","0",188041
"2987","M","18-25","0","B","4+","0",1418399
"4263","F","51-55","3","C","1","1",840183
"341","M","26-35","7","C","0","0",235326
"2043","F","18-25","4","C","2","0",295435
"2733","M","36-45","7","C","3","0",156242
"2882","F","26-35","0","A","4+","0",205847
"2636","M","26-35","2","C","3","0",1502520
"1435","M","26-35","12","C","1","0",134519
"555","M","26-35","5","A","1","0",1764387
"3147","M","0-17","0","C","4+","0",707177
"2561","M","18-25","16","B","3","0",2992433
"3376","M","26-35","17","C","4+","0",219825
"2872","M","26-35","20","C","3","0",502559
"563","M","18-25","7","A","1","0",129416
"4620","M","55+","18","C","1","1",758955
"4929","M","18-25","4","C","2","1",268874
"2688","M","26-35","4","C","3","0",1781630
"3336","M","26-35","12","C","4+","0",833537
"1781","M","36-45","0","B","2","0",2305556
"3199","F","51-55","1","C","4+","0",395068
"3467","M","36-45","17","A","0","1",761898
"5107","F","18-25","19","C","2","1",831564
"2421","M","18-25","0","B","3","0",415330
"4640","M","55+","20","C","1","1",620127
"5490","F","46-50","16","C","3","1",872384
"5886","M","18-25","20","C","4+","1",246163
"2366","M","36-45","7","A","3","0",696526
"5648","M","26-35","14","B","4+","1",601504
"1149","F","46-50","1","C","1","0",176919
"515","F","26-35","3","A","1","0",5136424
"5819","M","55+","13","C","4+","1",625170
"5333","F","36-45","1","C","3","1",410747
"1974","F","36-45","0","C","2","0",190723
"5462","F","26-35","14","C","3","1",780163
"5254","M","18-25","12","B","3","1",2249056
"5192","F","36-45","0","B","3","1",709695
"5766","M","26-35","7","C","4+","1",655770
"3641","M","26-35","7","C","0","1",137998
"2936","M","26-35","4","A","4+","0",187928
"1391","M","0-17","10","C","1","0",405972
"2568","F","18-25","17","B","3","0",281706
"5277","M","26-35","16","B","3","1",354730
"3521","M","26-35","7","B","0","1",3164371
"2140","M","36-45","7","C","2","0",423439
"35","M","18-25","4","A","0","0",6476786
"2631","F","55+","1","C","3","0",475215
"31","M","18-25","4","A","0","0",4503530
"4783","F","36-45","9","B","2","1",1132435
"3320","M","0-17","10","C","4+","0",154149
"4621","M","18-25","19","C","1","1",556496
"4705","F","36-45","0","B","2","1",425254
"2540","M","55+","13","B","3","0",232980
"5398","M","26-35","7","C","3","1",1662783
"2352","F","26-35","4","A","3","0",623200
"1698","F","26-35","4","A","2","0",1978491
"3138","F","36-45","20","B","4+","0",1360453
"154","M","36-45","7","B","0","0",509431
"5635","M","36-45","11","B","4+","1",421226
"2443","F","26-35","1","B","3","0",1424026
"451","M","51-55","17","C","0","0",1062593
"5153","M","26-35","4","A","3","1",760797
"2462","M","26-35","2","B","3","0",2896341
"3957","F","18-25","4","B","1","1",389087
"867","M","26-35","7","B","1","0",2554045
"3437","M","26-35","2","A","0","1",706145
"2356","M","26-35","6","A","3","0",6310604
"2438","M","36-45","0","B","3","0",1386091
"5303","F","36-45","20","B","3","1",1508758
"776","F","18-25","4","B","1","0",323306
"1631","M","36-45","20","C","1","0",171593
"1239","M","18-25","4","C","1","0",101234
"3105","M","26-35","15","B","4+","0",1141235
"672","M","18-25","20","A","1","0",2499472
"5837","M","46-50","14","C","4+","1",1424281
"1586","M","36-45","17","C","1","0",169624
"96","M","26-35","0","B","0","0",1096528
"3282","M","26-35","7","C","4+","0",794512
"4234","M","46-50","2","C","1","1",331842
"5535","F","46-50","1","A","4+","1",326374
"1571","M","26-35","17","C","1","0",1367921
"5085","M","36-45","17","C","2","1",260505
"1488","F","26-35","14","C","1","0",133593
"3902","F","51-55","0","B","1","1",864312
"393","M","26-35","12","C","0","0",304750
"2006","M","46-50","1","C","2","0",134046
"3698","M","51-55","16","C","0","1",542550
"2186","M","18-25","10","C","2","0",1195553
"3958","F","18-25","4","B","1","1",317229
"37","M","18-25","4","A","0","0",536699
"5773","M","36-45","7","C","4+","1",167138
"110","F","36-45","1","B","0","0",206535
"452","M","55+","17","C","0","0",175649
"1403","M","0-17","10","C","1","0",217350
"3511","M","18-25","5","B","0","1",2135035
"1216","M","18-25","4","C","1","0",516783
"1871","M","36-45","7","B","2","0",948404
"777","F","18-25","4","B","1","0",918696
"3989","M","46-50","6","B","1","1",1972274
"4406","M","51-55","7","C","1","1",572240
"1300","M","26-35","7","C","1","0",1133463
"5576","M","36-45","20","A","4+","1",1304215
"248","M","18-25","1","C","0","0",504267
"3759","M","26-35","2","A","1","1",119678
"4914","M","36-45","2","C","2","1",209109
"4494","M","55+","13","C","1","1",766715
"1063","F","26-35","0","C","1","0",1010953
"2232","M","26-35","15","C","2","0",205601
"4316","M","26-35","6","C","1","1",539893
"1965","M","26-35","0","C","2","0",288043
"2059","M","18-25","4","C","2","0",957532
"4917","F","55+","2","C","2","1",2103069
"2592","M","26-35","0","C","3","0",128697
"1676","M","36-45","3","A","2","0",2825735
"3484","M","36-45","0","B","0","1",988439
"4059","F","46-50","14","B","1","1",384193
"640","M","36-45","14","A","1","0",1454797
"4814","M","26-35","14","B","2","1",2187022
"558","M","26-35","6","A","1","0",4664260
"5617","M","51-55","6","B","4+","1",1875759
"5761","F","26-35","7","C","4+","1",277766
"5784","M","51-55","7","C","4+","1",780873
"636","M","26-35","14","A","1","0",2521579
"4546","F","46-50","15","C","1","1",495867
"1381","M","0-17","10","C","1","0",260686
"2173","M","0-17","10","C","2","0",280667
"3071","M","26-35","7","B","4+","0",210263
"1897","M","26-35","12","B","2","0",2006866
"5230","M","26-35","6","B","3","1",2451245
"2663","M","18-25","4","C","3","0",295892
"3267","M","18-25","6","C","4+","0",158541
"3513","M","26-35","5","B","0","1",2013623
"1894","M","26-35","12","B","2","0",896905
"5659","M","26-35","16","B","4+","1",249688
"3213","M","26-35","2","C","4+","0",178754
"2374","M","0-17","10","A","3","0",920252
"3885","M","26-35","0","B","1","1",394269
"1777","M","26-35","0","B","2","0",1607900
"3373","M","18-25","17","C","4+","0",1897191
"1801","M","18-25","2","B","2","0",3436774
"440","M","36-45","17","C","0","0",430669
"4266","F","18-25","4","C","1","1",229328
"4732","F","55+","2","B","2","1",2042968
"363","M","0-17","10","C","0","0",1445812
"5175","M","46-50","16","A","3","1",93931
"5361","F","55+","3","C","3","1",430685
"3500","M","51-55","3","B","0","1",1522820
"4313","F","26-35","6","C","1","1",376016
"3672","M","36-45","12","C","0","1",933841
"478","M","26-35","0","A","1","0",2458922
"5780","F","51-55","7","C","4+","1",85286
"1517","M","18-25","16","C","1","0",1022582
"243","F","55+","0","C","0","0",370229
"5828","M","26-35","14","C","4+","1",1295739
"5178","M","36-45","17","A","3","1",990662
"2260","M","26-35","17","C","2","0",1047136
"1479","M","55+","13","C","1","0",565272
"2403","M","18-25","17","A","3","0",461323
"5404","M","26-35","7","C","3","1",417608
"1145","M","36-45","1","C","1","0",166624
"3593","M","26-35","1","C","0","1",145709
"5458","M","55+","13","C","3","1",827837
"2825","M","18-25","17","C","3","0",267823
"5055","M","18-25","16","C","2","1",127183
"2179","M","0-17","10","C","2","0",665254
"5185","M","36-45","20","A","3","1",468098
"311","M","26-35","4","C","0","0",1207090
"2108","M","36-45","6","C","2","0",450218
"4333","F","46-50","6","C","1","1",509451
"5428","F","36-45","9","C","3","1",871732
"5331","M","26-35","1","C","3","1",762339
"437","F","36-45","17","C","0","0",860558
"2360","F","26-35","7","A","3","0",211907
"1395","M","0-17","10","C","1","0",218674
"3291","M","36-45","7","C","4+","0",1220392
"5395","F","26-35","7","C","3","1",121488
"4067","M","26-35","15","B","1","1",397293
"5543","M","26-35","4","A","4+","1",3056483
"3223","F","36-45","3","C","4+","0",134226
"4229","F","26-35","2","C","1","1",1012488
"3321","M","0-17","10","C","4+","0",1207089
"5515","M","18-25","20","C","3","1",233525
"3144","M","0-17","0","C","4+","0",112724
"83","F","26-35","19","A","0","0",1900706
"2637","M","26-35","2","C","3","0",433158
"4459","M","36-45","12","C","1","1",146447
"909","M","0-17","10","B","1","0",3761988
"4896","M","46-50","1","C","2","1",539185
"2004","M","36-45","1","C","2","0",776741
"3845","M","26-35","15","A","1","1",207533
"2291","M","18-25","20","C","2","0",515379
"4502","F","26-35","14","C","1","1",136644
"922","F","36-45","11","B","1","0",2012047
"611","M","55+","11","A","1","0",377755
"5548","M","26-35","7","A","4+","1",400469
"3409","F","18-25","20","C","4+","0",561323
"260","M","36-45","1","C","0","0",177858
"5048","M","26-35","15","C","2","1",1929174
"5051","M","46-50","15","C","2","1",96230
"4599","M","36-45","17","C","1","1",80924
"5250","F","36-45","9","B","3","1",165257
"2710","M","18-25","7","C","3","0",244331
"1007","M","36-45","17","B","1","0",1524316
"4394","F","51-55","7","C","1","1",767566
"5753","F","46-50","6","C","4+","1",569871
"1371","F","0-17","10","C","1","0",128704
"5791","M","18-25","10","C","4+","1",441019
"3824","M","26-35","12","A","1","1",479852
"4125","M","51-55","20","B","1","1",1531964
"1393","M","0-17","10","C","1","0",1257580
"3736","M","36-45","0","A","1","1",377725
"984","M","26-35","16","B","1","0",2772363
"3393","M","36-45","17","C","4+","0",1683563
"792","M","18-25","4","B","1","0",288485
"809","M","18-25","4","B","1","0",3111194
"4850","F","51-55","20","B","2","1",152001
"4161","F","46-50","0","C","1","1",784674
"2196","M","26-35","12","C","2","0",120801
"1973","M","26-35","0","C","2","0",744701
"600","F","0-17","10","A","1","0",105279
"3741","F","46-50","0","A","1","1",224103
"628","M","51-55","12","A","1","0",483959
"2091","M","26-35","4","C","2","0",453060
"5864","M","26-35","17","C","4+","1",145377
"1719","M","51-55","7","A","2","0",995744
"2051","F","18-25","4","C","2","0",152231
"1582","M","36-45","17","C","1","0",92888
"2799","M","26-35","14","C","3","0",165115
"1129","M","26-35","1","C","1","0",195917
"2819","M","55+","16","C","3","0",586140
"2541","M","55+","13","B","3","0",325185
"527","M","18-25","4","A","1","0",1633731
"3224","M","51-55","3","C","4+","0",1079450
"3197","M","46-50","1","C","4+","0",90967
"2933","F","26-35","4","A","4+","0",415339
"978","F","26-35","16","B","1","0",2170792
"5632","F","36-45","9","B","4+","1",301112
"3708","M","46-50","17","C","0","1",229588
"1879","F","0-17","10","B","2","0",347869
"1723","F","0-17","10","A","2","0",333481
"3255","M","18-25","4","C","4+","0",201028
"1461","M","51-55","13","C","1","0",131188
"512","F","36-45","2","A","1","0",465389
"1632","M","36-45","20","C","1","0",793201
"1317","M","36-45","7","C","1","0",696201
"1857","M","26-35","6","B","2","0",1822454
"1790","M","26-35","1","B","2","0",1686279
"2938","M","26-35","4","A","4+","0",1085691
"2379","M","18-25","12","A","3","0",1215939
"5707","M","26-35","1","C","4+","1",1433514
"5856","F","26-35","17","C","4+","1",141697
"781","F","18-25","4","B","1","0",122586
"3077","F","26-35","9","B","4+","0",1042152
"4377","M","36-45","7","C","1","1",629844
"2110","M","36-45","6","C","2","0",187698
"2966","M","26-35","15","A","4+","0",1237432
"5696","M","46-50","0","C","4+","1",580281
"713","M","26-35","0","B","1","0",169784
"1979","M","36-45","0","C","2","0",386395
"1671","F","26-35","3","A","2","0",188016
"3227","F","18-25","4","C","4+","0",158305
"2504","M","36-45","6","B","3","0",2087488
"2796","F","26-35","14","C","3","0",621830
"285","F","18-25","4","C","0","0",700369
"4785","F","51-55","9","B","2","1",1819306
"5397","M","26-35","7","C","3","1",199197
"4622","M","46-50","19","C","1","1",592235
"5228","M","26-35","4","B","3","1",2494638
"2712","F","26-35","7","C","3","0",213363
"3795","M","26-35","5","A","1","1",2083175
"2969","M","18-25","17","A","4+","0",868522
"3342","M","26-35","12","C","4+","0",252528
"4362","F","36-45","7","C","1","1",406560
"4926","F","18-25","4","C","2","1",180068
"5285","M","26-35","17","B","3","1",1789928
"2641","M","36-45","2","C","3","0",94698
"1204","F","18-25","4","C","1","0",266961
"3578","M","46-50","0","C","0","1",231788
"1383","M","0-17","10","C","1","0",92164
"738","M","36-45","1","B","1","0",118227
"3084","F","26-35","11","B","4+","0",301560
"1388","M","0-17","10","C","1","0",300360
"2334","F","26-35","3","A","3","0",2175222
"4555","M","26-35","16","C","1","1",190763
"2090","M","26-35","4","C","2","0",211439
"2105","F","36-45","6","C","2","0",280200
"1760","M","36-45","20","A","2","0",306650
"2664","M","18-25","4","C","3","0",377485
"3843","M","26-35","14","A","1","1",365833
"624","M","26-35","12","A","1","0",421464
"5526","F","26-35","0","A","4+","1",882049
"969","F","36-45","14","B","1","0",678112
"1268","M","26-35","5","C","1","0",1414354
"1119","M","18-25","1","C","1","0",121661
"5159","F","26-35","7","A","3","1",126659
"3123","M","26-35","17","B","4+","0",1374442
"5514","F","18-25","20","C","3","1",323532
"3476","M","51-55","20","A","0","1",2104125
"3895","F","46-50","0","B","1","1",227919
"5880","M","55+","17","C","4+","1",151371
"2244","F","36-45","16","C","2","0",755105
"2534","M","26-35","12","B","3","0",1641669
"797","M","18-25","4","B","1","0",614488
"2570","M","26-35","17","B","3","0",177772
"2257","M","26-35","17","C","2","0",635064
"3802","M","55+","6","A","1","1",139365
"5138","M","26-35","2","A","3","1",187921
"4514","M","26-35","14","C","1","1",779450
"3801","F","46-50","6","A","1","1",3797112
"5028","F","55+","13","C","2","1",726297
"3901","M","46-50","0","B","1","1",194166
"3703","F","36-45","17","C","0","1",579388
"2249","M","51-55","16","C","2","0",679545
"4258","F","46-50","3","C","1","1",158194
"1","F","18-25","0","A","0","0",807747
"1074","M","26-35","0","C","1","0",812534
"5481","M","55+","15","C","3","1",564041
"324","M","18-25","5","C","0","0",928288
"3172","F","36-45","0","C","4+","0",493669
"4451","M","26-35","12","C","1","1",1277221
"834","M","18-25","5","B","1","0",2887707
"3435","M","55+","1","A","0","1",174513
"723","M","18-25","1","B","1","0",225022
"1964","M","26-35","0","C","2","0",489084
"3453","M","36-45","7","A","0","1",219796
"2479","F","18-25","4","B","3","0",566637
"3364","M","36-45","16","C","4+","0",549214
"4378","M","36-45","7","C","1","1",116918
"3448","F","26-35","6","A","0","1",207786
"1696","M","18-25","4","A","2","0",156681
"4047","M","51-55","13","B","1","1",311733
"5165","F","46-50","12","A","3","1",207555
"4957","M","55+","6","C","2","1",364015
"1686","M","18-25","4","A","2","0",213755
"4819","M","46-50","14","B","2","1",215322
"873","F","36-45","7","B","1","0",59916
"3997","F","26-35","7","B","1","1",172328
"3192","M","36-45","1","C","4+","0",1335047
"1915","M","26-35","15","B","2","0",476467
"2338","F","18-25","4","A","3","0",2838896
"4044","F","46-50","13","B","1","1",502556
"2899","M","51-55","1","A","4+","0",842954
"4491","M","55+","13","C","1","1",1569353
"3569","F","36-45","0","C","0","1",257851
"1703","M","26-35","4","A","2","0",2018069
"5278","F","36-45","16","B","3","1",1244778
"5316","M","26-35","0","C","3","1",755223
"3545","F","26-35","14","B","0","1",521670
"3721","M","51-55","20","C","0","1",1418940
"5328","M","26-35","1","C","3","1",186570
"5564","M","51-55","12","A","4+","1",346543
"3302","M","26-35","8","C","4+","0",635160
"3769","F","51-55","2","A","1","1",3003096
"4349","M","26-35","7","C","1","1",1090728
"5706","F","26-35","1","C","4+","1",177517
"4419","F","36-45","9","C","1","1",235889
"1151","F","46-50","1","C","1","0",381933
"1825","M","18-25","4","B","2","0",1258777
"4717","M","26-35","1","B","2","1",3774602
"1476","M","55+","13","C","1","0",113750
"2696","F","26-35","6","C","3","0",137494
"4076","M","51-55","16","B","1","1",1221368
"2739","M","36-45","7","C","3","0",105821
"2336","F","18-25","4","A","3","0",130256
"3745","F","26-35","1","A","1","1",3146236
"5232","F","46-50","6","B","3","1",1312835
"2398","M","26-35","16","A","3","0",3010302
"750","F","26-35","2","B","1","0",937439
"3125","M","46-50","17","B","4+","0",2842462
"4022","M","26-35","11","B","1","1",1369148
"2595","M","26-35","0","C","3","0",361194
"2142","M","36-45","7","C","2","0",860879
"582","M","26-35","7","A","1","0",953683
"167","M","46-50","11","B","0","0",1629013
"5830","F","36-45","14","C","4+","1",818383
"5396","F","26-35","7","C","3","1",225462
"5040","M","36-45","14","C","2","1",204211
"3918","F","36-45","1","B","1","1",748918
"5354","M","36-45","2","C","3","1",1773301
"5854","M","55+","16","C","4+","1",208387
"1732","M","26-35","12","A","2","0",1062215
"4506","M","26-35","14","C","1","1",306430
"1816","F","18-25","4","B","2","0",1930537
"3099","M","55+","13","B","4+","0",111944
"3656","M","51-55","7","C","0","1",232182
"183","F","36-45","14","B","0","0",349266
"4796","M","26-35","12","B","2","1",486975
"2289","M","18-25","20","C","2","0",901095
"5321","M","36-45","0","C","3","1",234813
"3089","M","18-25","12","B","4+","0",1878371
"2274","F","46-50","17","C","2","0",710362
"362","M","0-17","10","C","0","0",124933
"5560","F","26-35","12","A","4+","1",978140
"870","M","26-35","7","B","1","0",313853
"1702","M","26-35","4","A","2","0",510816
"2","M","18-25","0","A","0","0",5212846
"5172","F","51-55","14","A","3","1",626559
"2789","M","55+","13","C","3","0",111656
"4718","M","26-35","1","B","2","1",2293918
"5763","F","26-35","7","C","4+","1",450153
"1914","M","26-35","15","B","2","0",2312495
"1154","M","46-50","1","C","1","0",138587
"3813","M","51-55","7","A","1","1",3317803
"1608","M","18-25","19","C","1","0",985092
"5452","M","36-45","12","C","3","1",1844273
"492","F","26-35","1","A","1","0",487812
"1786","F","18-25","1","B","2","0",1430464
"4612","M","51-55","17","C","1","1",130249
"4986","M","36-45","7","C","2","1",520039
"4537","F","26-35","15","C","1","1",725647
"3870","M","18-25","19","A","1","1",1202049
"212","M","26-35","20","B","0","0",2166173
"4688","M","36-45","16","A","2","1",942297
"5808","M","36-45","12","C","4+","1",305321
"4632","F","36-45","20","C","1","1",269686
"5495","F","55+","16","C","3","1",205012
"2063","M","18-25","4","C","2","0",1118191
"2337","F","18-25","4","A","3","0",509284
"340","M","26-35","7","C","0","0",191313
"4509","M","26-35","14","C","1","1",441279
"3299","M","51-55","7","C","4+","0",435557
"1197","F","18-25","4","C","1","0",406713
"1564","M","26-35","17","C","1","0",96199
"2705","F","36-45","6","C","3","0",438852
"1411","F","18-25","11","C","1","0",444779
"4977","F","36-45","7","C","2","1",497627
"3439","M","36-45","2","A","0","1",866550
"4584","M","26-35","17","C","1","1",155753
"4726","M","51-55","1","B","2","1",1436611
"3352","M","18-25","14","C","4+","0",237045
"3174","M","36-45","0","C","4+","0",415537
"3573","M","36-45","0","C","0","1",264357
"832","M","26-35","4","B","1","0",1468865
"2671","M","18-25","4","C","3","0",478242
"2601","M","36-45","0","C","3","0",993817
"2815","M","36-45","16","C","3","0",105654
"4721","F","46-50","1","B","2","1",833531
"5112","M","26-35","20","C","2","1",337250
"2866","M","51-55","19","C","3","0",1174579
"4975","F","36-45","7","C","2","1",154510
"3015","M","36-45","1","B","4+","0",819458
"3663","F","26-35","9","C","0","1",1353967
"3852","F","46-50","16","A","1","1",928494
"4559","M","36-45","16","C","1","1",1714099
"3069","M","26-35","7","B","4+","0",679664
"2685","M","26-35","4","C","3","0",1711200
"3850","M","26-35","16","A","1","1",2034226
"3446","M","36-45","4","A","0","1",5805353
"4655","M","51-55","3","A","2","1",267140
"5369","M","18-25","4","C","3","1",718554
"2394","M","36-45","14","A","3","0",481798
"318","M","36-45","4","C","0","0",781507
"890","M","51-55","7","B","1","0",250190
"4567","M","46-50","16","C","1","1",898783
"5735","F","55+","3","C","4+","1",175633
"5394","F","26-35","7","C","3","1",203221
"5287","F","36-45","17","B","3","1",2941595
"1999","F","36-45","1","C","2","0",175796
"2702","F","36-45","6","C","3","0",69563
"5602","M","55+","3","B","4+","1",186968
"1617","M","18-25","20","C","1","0",110552
"2370","F","36-45","9","A","3","0",4135916
"482","F","36-45","0","A","1","0",771916
"5408","M","36-45","7","C","3","1",303420
"1844","M","26-35","4","B","2","0",1759067
"44","M","26-35","4","A","0","0",1618620
"2307","M","26-35","0","A","3","0",143511
"5541","F","18-25","4","A","4+","1",99776
"2118","M","26-35","7","C","2","0",485615
"3370","M","55+","16","C","4+","0",126507
"2499","M","26-35","5","B","3","0",2635813
"5782","M","51-55","7","C","4+","1",283948
"2763","M","0-17","10","C","3","0",229608
"3975","F","46-50","4","B","1","1",351018
"648","M","26-35","15","A","1","0",2370964
"5499","M","26-35","17","C","3","1",2120070
"5732","F","26-35","3","C","4+","1",152637
"5176","M","18-25","17","A","3","1",226602
"4967","M","26-35","7","C","2","1",194174
"5049","M","26-35","15","C","2","1",189078
"2883","M","26-35","0","A","4+","0",2143427
"4","F","26-35","0","A","0","0",844854
"5050","M","26-35","15","C","2","1",713614
"1832","M","18-25","4","B","2","0",1674012
"1935","M","26-35","17","B","2","0",1883517
"4298","M","26-35","4","C","1","1",790149
"2220","M","18-25","14","C","2","0",977609
"3048","M","18-25","4","B","4+","0",1007781
"2028","F","46-50","2","C","2","0",62250
"1103","M","36-45","0","C","1","0",153456
"291","F","18-25","4","C","0","0",270817
"5282","F","55+","16","B","3","1",468406
"3574","F","46-50","0","C","0","1",108961
"1281","M","26-35","6","C","1","0",671334
"1528","M","26-35","16","C","1","0",357686
"1225","M","18-25","4","C","1","0",740697
"3244","M","18-25","4","C","4+","0",222013
"5551","F","36-45","7","A","4+","1",414690
"5889","M","26-35","20","C","4+","1",220698
"874","F","36-45","7","B","1","0",126398
"547","M","26-35","4","A","1","0",640104
"5298","F","36-45","19","B","3","1",2522910
"708","M","26-35","0","B","1","0",1885399
"1406","M","18-25","10","C","1","0",892989
"5074","F","26-35","17","C","2","1",535248
"4548","M","46-50","15","C","1","1",1116316
"3483","M","26-35","0","B","0","1",1530634
"1549","M","18-25","17","C","1","0",228690
"5620","M","26-35","7","B","4+","1",761952
"4326","F","36-45","6","C","1","1",87784
"2434","M","26-35","0","B","3","0",1926234
"1480","F","18-25","14","C","1","0",628659
"3489","F","18-25","1","B","0","1",1757095
"4525","F","46-50","14","C","1","1",179822
"1426","F","26-35","12","C","1","0",177850
"2016","M","55+","1","C","2","0",340879
"5106","M","55+","18","C","2","1",188993
"885","M","36-45","7","B","1","0",1599318
"973","F","26-35","15","B","1","0",769296
"3969","M","18-25","4","B","1","1",2426066
"592","M","36-45","7","A","1","0",681370
"5727","F","46-50","2","C","4+","1",178608
"2725","F","36-45","7","C","3","0",279637
"1972","M","26-35","0","C","2","0",484361
"5450","M","36-45","12","C","3","1",647672
"5720","M","46-50","1","C","4+","1",608372
"3215","F","36-45","2","C","4+","0",844299
"5636","M","26-35","12","B","4+","1",4532014
"4845","M","26-35","20","B","2","1",108543
"2396","M","26-35","15","A","3","0",2484582
"388","M","18-25","12","C","0","0",1458661
"206","M","18-25","20","B","0","0",1451715
"2522","M","51-55","7","B","3","0",125929
"1100","M","36-45","0","C","1","0",1123631
"3815","M","51-55","7","A","1","1",237189
"3820","M","36-45","10","A","1","1",1355185
"158","F","51-55","7","B","0","0",405992
"868","M","26-35","7","B","1","0",1357317
"2031","M","26-35","3","C","2","0",213016
"4899","M","46-50","1","C","2","1",89990
"3058","F","26-35","6","B","4+","0",761369
"2662","M","18-25","4","C","3","0",1096395
"281","M","36-45","3","C","0","0",1398762
"3202","M","51-55","1","C","4+","0",817553
"3565","M","26-35","0","C","0","1",1322580
"124","F","18-25","4","B","0","0",350247
"1998","M","26-35","1","C","2","0",486154
"4140","M","26-35","0","C","1","1",249686
"3390","M","36-45","17","C","4+","0",136882
"3107","M","36-45","15","B","4+","0",186784
"2085","M","18-25","4","C","2","0",626811
"739","F","46-50","1","B","1","0",2252669
"333","M","46-50","6","C","0","0",321494
"1497","M","36-45","14","C","1","0",883832
"3810","M","36-45","7","A","1","1",787624
"4118","M","26-35","20","B","1","1",1313786
"2839","M","26-35","17","C","3","0",1568719
"3689","M","36-45","15","C","0","1",1038116
"356","M","26-35","8","C","0","0",198047
"2800","M","26-35","14","C","3","0",192043
"1654","M","18-25","1","A","2","0",64400
"5586","M","26-35","0","B","4+","1",2572722
"5217","M","26-35","3","B","3","1",3258984
"1344","M","46-50","7","C","1","0",342596
"2087","F","26-35","4","C","2","0",248683
"821","M","26-35","4","B","1","0",734896
"3188","F","36-45","1","C","4+","0",338881
"3904","M","51-55","0","B","1","1",622988
"2020","M","18-25","2","C","2","0",273903
"3491","M","26-35","1","B","0","1",1894007
"2600","M","26-35","0","C","3","0",335269
"343","F","36-45","7","C","0","0",365489
"621","M","26-35","12","A","1","0",2295741
"766","F","36-45","3","B","1","0",313566
"5215","M","26-35","2","B","3","1",2380092
"4627","F","26-35","20","C","1","1",751027
"1932","M","26-35","17","B","2","0",463215
"2282","M","51-55","18","C","2","0",623327
"3647","F","36-45","7","C","0","1",325166
"5222","F","26-35","4","B","3","1",84028
"549","M","26-35","4","A","1","0",385617
"5524","F","26-35","0","A","4+","1",182769
"1771","F","26-35","0","B","2","0",233416
"4391","M","46-50","7","C","1","1",488887
"5853","F","55+","16","C","4+","1",1223808
"3274","M","36-45","6","C","4+","0",77853
"72","M","26-35","14","A","0","0",185747
"5612","F","26-35","6","B","4+","1",814121
"4823","M","55+","15","B","2","1",742144
"261","F","46-50","1","C","0","0",84423
"2581","M","26-35","19","B","3","0",3813161
"365","M","0-17","10","C","0","0",652609
"5436","F","18-25","12","C","3","1",470470
"4328","M","36-45","6","C","1","1",582749
"1629","F","36-45","20","C","1","0",1000130
"1267","M","26-35","5","C","1","0",1242328
"1983","M","46-50","0","C","2","0",1096236
"4105","M","51-55","18","B","1","1",259381
"1152","M","46-50","1","C","1","0",1071044
"4648","M","46-50","1","A","2","1",1099699
"2786","M","36-45","12","C","3","0",372040
"887","M","51-55","7","B","1","0",1633724
"4276","M","18-25","4","C","1","1",361260
"2612","M","0-17","1","C","3","0",1190969
"3027","F","18-25","4","B","4+","0",737912
"5675","F","51-55","20","B","4+","1",120810
"4314","F","26-35","6","C","1","1",562619
"4607","F","51-55","17","C","1","1",213883
"1799","M","55+","1","B","2","0",244289
"4748","F","26-35","4","B","2","1",1406667
"4194","F","46-50","1","C","1","1",329348
"389","M","26-35","12","C","0","0",528144
"3811","M","46-50","7","A","1","1",620567
"455","M","36-45","18","C","0","0",153546
"929","M","18-25","12","B","1","0",431467
"1802","F","26-35","2","B","2","0",1416072
"2715","M","26-35","7","C","3","0",299113
"3117","M","26-35","17","B","4+","0",775330
"2454","M","51-55","1","B","3","0",435896
"3871","F","26-35","19","A","1","1",1925552
"3988","F","46-50","6","B","1","1",330214
"3707","M","46-50","17","C","0","1",335566
"5226","M","26-35","4","B","3","1",2735812
"78","M","36-45","16","A","0","0",1014090
"972","F","26-35","15","B","1","0",986966
"3757","M","55+","1","A","1","1",273813
"4799","M","36-45","12","B","2","1",1859760
"1783","M","36-45","0","B","2","0",3173859
"3525","M","36-45","7","B","0","1",186885
"839","M","26-35","5","B","1","0",1586639
"173","M","26-35","12","B","0","0",537649
"3986","F","36-45","6","B","1","1",125042
"4412","M","55+","7","C","1","1",270072
"4432","M","26-35","11","C","1","1",448562
"1401","M","0-17","10","C","1","0",81535
"934","M","26-35","12","B","1","0",762286
"5213","M","26-35","2","B","3","1",802110
"2693","M","36-45","5","C","3","0",717518
"468","F","18-25","0","A","1","0",425488
"4871","M","51-55","0","C","2","1",124869
"5578","M","51-55","20","A","4+","1",281332
"3413","F","26-35","20","C","4+","0",160545
"2368","M","36-45","7","A","3","0",145353
"3627","F","18-25","5","C","0","1",151660
"2283","M","0-17","19","C","2","0",164873
"1155","F","51-55","1","C","1","0",463120
"976","M","26-35","15","B","1","0",1123288
